experiment,window,test_cell,model,exclude_outliers,n_train,n_test,n_features,seq_len,RMSE,MAE,R2
MultiHI-DeepSequence,very_narrow_38_39,Cell4,LSTM,True,369,43,17,5,0.027367309839084007,0.021940448980592386,0.7435010686880497
MultiHI-DeepSequence,very_narrow_38_39,Cell4,GRU,True,369,43,17,5,0.019203138184976196,0.016396733360670743,0.8737109326431377
MultiHI-DeepSequence,very_narrow_38_39,Cell4,TCN,True,369,43,17,5,0.016410080269712662,0.01343654530541903,0.9077762552847584
MultiHI-DeepSequence,very_narrow_38_39,Cell4,TransformerEncoder,True,369,43,17,5,0.005868676457934395,0.004368994856148387,0.9882048986598986
MultiHI-DeepSequence,very_narrow_38_39,Cell5,LSTM,True,371,41,17,5,0.016896654700330468,0.012772073808551138,0.8529740664591783
MultiHI-DeepSequence,very_narrow_38_39,Cell5,GRU,True,371,41,17,5,0.030547575758715566,0.027276847834593602,0.5194418037426056
MultiHI-DeepSequence,very_narrow_38_39,Cell5,TCN,True,371,41,17,5,0.013397570648788366,0.010567472934717888,0.9075632645026879
MultiHI-DeepSequence,very_narrow_38_39,Cell5,TransformerEncoder,True,371,41,17,5,0.012569567922554458,0.011079806000490203,0.9186358323474697
MultiHI-DeepSequence,very_narrow_38_39,Cell6,LSTM,True,370,42,17,5,0.011785134463799429,0.00916999346769329,0.9437644369393342
MultiHI-DeepSequence,very_narrow_38_39,Cell6,GRU,True,370,42,17,5,0.013207296320348335,0.010675235205596387,0.9293731547781042
MultiHI-DeepSequence,very_narrow_38_39,Cell6,TCN,True,370,42,17,5,0.01652130876140748,0.015090751635702932,0.8894825491298213
MultiHI-DeepSequence,very_narrow_38_39,Cell6,TransformerEncoder,True,370,42,17,5,0.012124288432410488,0.00970855901986418,0.9404811566397588
MultiHI-DeepSequence,very_narrow_38_39,Cell7,LSTM,True,339,73,17,5,0.03237944014600725,0.02822482611936108,0.6192331948444235
MultiHI-DeepSequence,very_narrow_38_39,Cell7,GRU,True,339,73,17,5,0.01785115354758086,0.014333709890117943,0.8842681273275723
MultiHI-DeepSequence,very_narrow_38_39,Cell7,TCN,True,339,73,17,5,0.017823633759134407,0.0166632517887393,0.8846246826246923
MultiHI-DeepSequence,very_narrow_38_39,Cell7,TransformerEncoder,True,339,73,17,5,0.008559989702710366,0.006726440851996113,0.9733886508062235
MultiHI-DeepSequence,very_narrow_38_39,Cell8,LSTM,True,339,72,17,5,0.020227983411744352,0.018823181337900993,0.8954539751077368
MultiHI-DeepSequence,very_narrow_38_39,Cell8,GRU,True,339,72,17,5,0.03445942750197614,0.028775274695575812,0.6965979836203811
MultiHI-DeepSequence,very_narrow_38_39,Cell8,TCN,True,339,72,17,5,0.042805893525914546,0.037094249611612055,0.5318236400875826
MultiHI-DeepSequence,very_narrow_38_39,Cell8,TransformerEncoder,True,339,72,17,5,0.0067743567140720285,0.005329536616906303,0.9882743083452215
