experiment,window,test_cell,model,exclude_outliers,n_train,n_test,n_features,RMSE,MAE,R2,seq_len,n_experts
MultiHI-Tabular,full_36_42,Cell3,RandomForest,False,443.0,76.0,17,0.002637818333001274,0.0020938583784674107,0.9984649701142166,,
MultiHI-Tabular,full_36_42,Cell3,ExtraTrees,False,443.0,76.0,17,0.002454035030298978,0.002003871089363662,0.9986714173207136,,
MultiHI-Tabular,full_36_42,Cell3,HistGB,False,443.0,76.0,17,0.003153122524665272,0.0023496488883977948,0.9978066458303616,,
MultiHI-Tabular,full_36_42,Cell3,XGBoost,False,443.0,76.0,17,0.0023228591356230428,0.0018873938079057397,0.9988096550925282,,
MultiHI-Tabular,full_36_42,Cell3,LightGBM,False,443.0,76.0,17,0.0031912322770660355,0.002328180403448532,0.9977533061191184,,
MultiHI-Tabular,full_36_42,Cell3,CatBoost,False,443.0,76.0,17,0.0023642521161082917,0.0018622319651318815,0.9987668535883947,,
MultiHI-Tabular,full_36_42,Cell4,Ridge,False,472.0,47.0,17,0.005168307155964695,0.004103523753931869,0.9929108096698278,,
MultiHI-Tabular,full_36_42,Cell4,ElasticNet,False,472.0,47.0,17,0.0036312107716190054,0.0027641121926496887,0.9965005247997529,,
MultiHI-Tabular,full_36_42,Cell4,SVR-RBF,False,472.0,47.0,17,0.006648247445784278,0.005845218787699179,0.9882695585851241,,
MultiHI-Tabular,full_36_42,Cell4,KNN,False,472.0,47.0,17,0.0035533339723573987,0.0028564896763416006,0.9966490182682632,,
MultiHI-Tabular,full_36_42,Cell4,RandomForest,False,472.0,47.0,17,0.0021982928703312143,0.0017078972651167449,0.9987174594447787,,
MultiHI-Tabular,full_36_42,Cell4,ExtraTrees,False,472.0,47.0,17,0.0014153384004300083,0.0011273017871755388,0.9994683564075533,,
MultiHI-Tabular,full_36_42,Cell4,HistGB,False,472.0,47.0,17,0.0034339722119457786,0.0026513320751070783,0.9968703659582387,,
MultiHI-Tabular,full_36_42,Cell4,XGBoost,False,472.0,47.0,17,0.002491390825008696,0.0019008505258646792,0.9983526581729317,,
MultiHI-Tabular,full_36_42,Cell4,LightGBM,False,472.0,47.0,17,0.00326688405309648,0.002487774664035784,0.9971675161261107,,
