experiment,scenario,description,test_cell,model,exclude_outliers,n_train,n_test,n_features,n_experts,RMSE,MAE,R2
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell1,XGBoost,False,441,78,17,,0.003902686790963405,0.0029193104043622855,0.9967782545818683
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell2,XGBoost,False,446,73,17,,0.011239727447865009,0.006084239900924974,0.9783520457019339
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell3,XGBoost,False,443,76,17,,0.0033198232876309746,0.002607394876606705,0.99756859668339
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell4,XGBoost,False,472,47,17,,0.002045107735173401,0.0016659963681874184,0.9988899759541398
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell5,XGBoost,False,473,46,17,,0.010545979538873594,0.0037853612014731274,0.9730039934267529
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell6,XGBoost,False,473,46,17,,0.005503284998145782,0.002848947834575197,0.9902898613305521
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell7,XGBoost,False,442,77,17,,0.008659630198084536,0.007573551501729227,0.9767585390529161
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell8,XGBoost,False,443,76,17,,0.00602530828256221,0.004391647185192505,0.9919754201057691
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell1,LightGBM,False,441,78,17,,0.003507966985103173,0.002717974777790495,0.9973969961087528
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell2,LightGBM,False,446,73,17,,0.014147592894129654,0.00783732428167164,0.9657018724938632
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell3,LightGBM,False,443,76,17,,0.003840417621231527,0.003038733545422454,0.9967462515210388
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell4,LightGBM,False,472,47,17,,0.0023977875186392194,0.0016921299188476146,0.99847411643797
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell5,LightGBM,False,473,46,17,,0.019051585422638434,0.004440655569246798,0.9118975630882193
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell6,LightGBM,False,473,46,17,,0.006495264220038421,0.0037015802893463983,0.9864738229282254
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell7,LightGBM,False,442,77,17,,0.008349488460285407,0.007221854144001819,0.9783934976471217
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell8,LightGBM,False,443,76,17,,0.004485209377347386,0.00348130999435623,0.9955533883281701
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell1,CatBoost,False,441,78,17,,0.004965081585506113,0.004318851729912347,0.9947854528241102
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell2,CatBoost,False,446,73,17,,0.013563008278481219,0.00789684145420055,0.9684777393524027
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell3,CatBoost,False,443,76,17,,0.0032853056415857334,0.0024864207766122125,0.9976188945472393
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell4,CatBoost,False,472,47,17,,0.004794044771914927,0.003972738979578486,0.9939003603992513
