scenario,description,exclude_outliers,test_cell,window,model_name,n_features,val_rmse,weight
all_windows_available,All window-specific features are available.,False,Cell6,medium_37_40,ExtraTrees,17,0.004902927644077994,0.043629178276873765
all_windows_available,All window-specific features are available.,False,Cell6,medium_37_40,RandomForest,17,0.005239784257712834,0.040824339665436846
all_windows_available,All window-specific features are available.,False,Cell6,medium_37_40,HistGB,17,0.004014782148928531,0.0532807509377448
all_windows_available,All window-specific features are available.,False,Cell6,medium_37_40,XGBoost,17,0.005779193016056662,0.037013951570753566
all_windows_available,All window-specific features are available.,False,Cell6,medium_37_40,LightGBM,17,0.004471264635567445,0.04784119920800325
all_windows_available,All window-specific features are available.,False,Cell6,medium_37_40,CatBoost,17,0.006591955907892329,0.032450280165703824
all_windows_available,All window-specific features are available.,False,Cell6,narrow_375_395,Ridge,17,0.0032274288417387174,0.06627891372796206
all_windows_available,All window-specific features are available.,False,Cell6,narrow_375_395,ExtraTrees,17,0.006521515902581736,0.03280078063773254
all_windows_available,All window-specific features are available.,False,Cell6,narrow_375_395,RandomForest,17,0.005316135729068554,0.040238012924328506
all_windows_available,All window-specific features are available.,False,Cell6,narrow_375_395,HistGB,17,0.005322368007539445,0.0401908959211197
all_windows_available,All window-specific features are available.,False,Cell6,narrow_375_395,XGBoost,17,0.006143651480962619,0.0348181847611105
all_windows_available,All window-specific features are available.,False,Cell6,narrow_375_395,LightGBM,17,0.004737060629679583,0.04515684001282102
all_windows_available,All window-specific features are available.,False,Cell6,narrow_375_395,CatBoost,17,0.007949340815945215,0.02690925907116847
all_windows_available,All window-specific features are available.,False,Cell6,very_narrow_38_39,Ridge,17,0.007488581157962093,0.028564937788924098
all_windows_available,All window-specific features are available.,False,Cell6,very_narrow_38_39,ExtraTrees,17,0.009916147175269402,0.021571979626075537
all_windows_available,All window-specific features are available.,False,Cell6,very_narrow_38_39,RandomForest,17,0.009063047973734027,0.02360253472655894
all_windows_available,All window-specific features are available.,False,Cell6,very_narrow_38_39,HistGB,17,0.007922649677894227,0.026999915337866682
all_windows_available,All window-specific features are available.,False,Cell6,very_narrow_38_39,XGBoost,17,0.009080887497451852,0.023556167285656387
all_windows_available,All window-specific features are available.,False,Cell6,very_narrow_38_39,LightGBM,17,0.007549873609915669,0.02833303817729498
all_windows_available,All window-specific features are available.,False,Cell6,very_narrow_38_39,CatBoost,17,0.011544280581304344,0.01852960466018565
all_windows_available,All window-specific features are available.,False,Cell7,full_36_42,Ridge,17,0.008210743678182727,0.039214422200948285
all_windows_available,All window-specific features are available.,False,Cell7,full_36_42,ExtraTrees,17,0.008281799241385874,0.038877973633496356
all_windows_available,All window-specific features are available.,False,Cell7,full_36_42,RandomForest,17,0.008044376317142854,0.04002542252826627
all_windows_available,All window-specific features are available.,False,Cell7,full_36_42,HistGB,17,0.009541042116807823,0.03374679829670318
all_windows_available,All window-specific features are available.,False,Cell7,full_36_42,XGBoost,17,0.008986830632017788,0.03582793714813582
all_windows_available,All window-specific features are available.,False,Cell7,full_36_42,LightGBM,17,0.009371993894260312,0.03435550869984554
all_windows_available,All window-specific features are available.,False,Cell7,full_36_42,CatBoost,17,0.010432995380796497,0.030861669247952143
all_windows_available,All window-specific features are available.,False,Cell7,medium_37_40,Ridge,17,0.008853982975099319,0.03636550901155811
all_windows_available,All window-specific features are available.,False,Cell7,medium_37_40,ExtraTrees,17,0.008013631653942794,0.04017898169502364
all_windows_available,All window-specific features are available.,False,Cell7,medium_37_40,RandomForest,17,0.007236853339241944,0.04449164592874206
all_windows_available,All window-specific features are available.,False,Cell7,medium_37_40,HistGB,17,0.007985044268158098,0.04032282693534119
all_windows_available,All window-specific features are available.,False,Cell7,medium_37_40,XGBoost,17,0.0090431407181857,0.035604842975440795
all_windows_available,All window-specific features are available.,False,Cell7,medium_37_40,LightGBM,17,0.008062326063914323,0.03993631111029659
all_windows_available,All window-specific features are available.,False,Cell7,medium_37_40,CatBoost,17,0.008293064619052127,0.03882516148890601
