exclude_outliers,scenario,description,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,,mean,std,mean,std,mean,std
True,only_very_narrow_window,Only very-narrow partial-window features are available.,MAW-GME,0.005459357296163333,0.0030509233698384057,0.0042849095049744546,0.002603564887051121,0.9910048285243603,0.008201450958222757
True,only_very_narrow_window,Only very-narrow partial-window features are available.,RandomForest,0.006066522216184482,0.0032161475889894917,0.00464936437412884,0.0025073045030388564,0.989433171410826,0.008981103185451308
True,only_very_narrow_window,Only very-narrow partial-window features are available.,Ridge,0.0057688633148472055,0.0026369512076992382,0.004622011023543425,0.002352195857524134,0.9907389771532735,0.006375462833835994
True,only_very_narrow_window,Only very-narrow partial-window features are available.,XGBoost,0.006006499035601599,0.002915391623616985,0.004616809813776393,0.0024605931634845346,0.9893286800895069,0.009045299954677117
True,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,CatBoost,0.006496635835345564,0.0036344483482170374,0.00537639013711352,0.003108894407538818,0.9872619040383402,0.011633506342075986
True,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,ExtraTrees,0.005811804905214022,0.0024953223883352107,0.004686533004744744,0.00221761261589345,0.9904604692791305,0.006946258364314846
True,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,HistGB,0.0057929227368708125,0.0024343269033661867,0.004683222571345274,0.0021851429799444135,0.990520562668973,0.007241791633744224
True,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,LightGBM,0.0059386139557576385,0.0027404771979202412,0.004659505518846925,0.002192942375989725,0.9900638408966888,0.007473014337211235
True,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,MAW-GME,0.005964424102569572,0.0037093054424077406,0.004859610302582481,0.0030710286866253134,0.9887630568276327,0.011359719987135006
True,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,RandomForest,0.005869737227783398,0.0026740264490501746,0.004795107663485469,0.002341349572826776,0.9901268353475606,0.007910866681730779
True,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,Ridge,0.004918192494338638,0.0024230533497236226,0.0043618673833562905,0.0026294853959734237,0.9926811282351595,0.006934696823305555
True,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,XGBoost,0.0056917157699913415,0.0030740397612018648,0.004600712983238245,0.002564617951396976,0.9902868674420607,0.008729906726385982
