dataset,test_cell,availability_prob,seed,paper_pmax_window,paper_gpr_ekf_rmse,paper_gpr_ekf_mae,RMSE,MAE,R2,n_updates,n_prediction_only,mean_update_time_ms,median_update_time_ms,p95_update_time_ms
Dataset 2,Cell2,0.4,46,very_narrow_38_39,0.0045,0.0034,0.018094415265709103,0.011616131361455997,0.9438959247565922,28,45,1.2302699588834825,0.916389999929379,1.8664415997591277
Dataset 2,Cell2,0.4,47,very_narrow_38_39,0.0045,0.0034,0.017406689755600755,0.011290792543400615,0.9480796418308451,22,51,1.2319546986711356,0.9787910003069555,1.9802020002316565
Dataset 2,Cell2,0.4,48,very_narrow_38_39,0.0045,0.0034,0.01611184960348954,0.009809837972267794,0.9555167919063507,32,41,1.3806817260296131,1.0272089998579759,1.98324799994225
Dataset 2,Cell2,0.4,49,very_narrow_38_39,0.0045,0.0034,0.016637168685395734,0.010684672445828559,0.9525687967581449,29,44,1.2608306712150208,0.9461800000281073,1.8742973999906098
Dataset 2,Cell2,0.4,50,very_narrow_38_39,0.0045,0.0034,0.012971453493728453,0.0074280781121679115,0.97116748093038,26,47,1.2181500274356003,0.9238200000254437,1.886857400222652
Dataset 2,Cell2,0.4,51,very_narrow_38_39,0.0045,0.0034,0.0169719014107869,0.011082948159137402,0.9506410056529402,28,45,1.2376343698471755,0.9134299998549977,1.8768999998428626
Dataset 2,Cell3,1.0,42,very_narrow_38_39,0.0045,0.0034,0.007965505257603428,0.005475380648435309,0.9860023951956001,76,0,2.046698421054316,2.155385000151,2.327377500023431
Dataset 2,Cell3,0.8,42,very_narrow_38_39,0.0045,0.0034,0.008547488991945492,0.0060470599670610975,0.9838822590650216,64,12,1.6209189868313363,1.747244999933173,1.8232524998893496
Dataset 2,Cell3,0.8,43,very_narrow_38_39,0.0045,0.0034,0.007702643443236042,0.0051870626929252815,0.9869109941998038,60,16,1.5648836974174916,1.7314495000846364,1.8125397499488827
Dataset 2,Cell3,0.8,44,very_narrow_38_39,0.0045,0.0034,0.00809551425711051,0.0055542383162970116,0.9855417425215085,61,15,1.577235947365807,1.7336304999844288,1.812867500007087
Dataset 2,Cell3,0.8,45,very_narrow_38_39,0.0045,0.0034,0.007857554087249889,0.005378521789017705,0.9863792246856959,63,13,1.6481221578870693,1.7498099998647376,1.9254964998935975
Dataset 2,Cell3,0.8,46,very_narrow_38_39,0.0045,0.0034,0.008456386084008392,0.00582555416535918,0.9842240080362109,64,12,1.6215085789242853,1.742949500112445,1.88733000004504
Dataset 2,Cell3,0.8,47,very_narrow_38_39,0.0045,0.0034,0.008273482221145564,0.005568781421966004,0.9848990681847627,58,18,1.5463211183858125,1.724060000242389,1.8466167496171693
