dataset,test_cell,deployment_model,expert_window,expert_model,expert_inner_rmse,expert_rank_score,expert_weight,expert_model_size_kb,n_features
Dataset 2,Cell3,MAW-GME-full-40experts,very_narrow_38_39,SVR-RBF,0.00861767678287663,0.009203546613774037,0.024720388009513466,34.619140625,17
Dataset 2,Cell3,MAW-GME-full-40experts,medium_37_40,XGBoost,0.008260246373652106,0.00933223190857249,0.02437951060302294,663.79296875,17
Dataset 2,Cell3,MAW-GME-full-40experts,narrow_375_395,ExtraTrees,0.007943171622288329,0.009560508287042871,0.02379740132586369,30758.1142578125,17
Dataset 2,Cell3,MAW-GME-full-40experts,narrow_375_395,LightGBM,0.008617145070043073,0.009783000315090605,0.023256184265600558,891.4267578125,17
Dataset 2,Cell3,MAW-GME-full-40experts,medium_37_40,LightGBM,0.008672590601565146,0.009846039977289611,0.023107285772953977,888.19921875,17
Dataset 2,Cell3,MAW-GME-full-40experts,full_36_42,KNN,0.009133531038124573,0.009870691862466252,0.023049575777904407,64.4775390625,17
Dataset 2,Cell3,MAW-GME-full-40experts,very_narrow_38_39,XGBoost,0.008753069620490739,0.009889228572271126,0.023006370904829702,668.0791015625,17
Dataset 2,Cell3,MAW-GME-full-40experts,medium_37_40,HistGB,0.00874190099432236,0.00989726019725185,0.02298770125758431,848.0576171875,17
Dataset 2,Cell3,MAW-GME-full-40experts,medium_37_40,RandomForest,0.008633257223420022,0.010170585438822974,0.02236992828281724,8570.37109375,17
Dataset 2,Cell3,MAW-GME-full-40experts,full_36_42,XGBoost,0.009022327671840235,0.010192033292265047,0.02232285362569881,662.638671875,17
Dataset 2,Cell3,MAW-GME-full-40experts,narrow_375_395,HistGB,0.00903248538244585,0.010226372496446373,0.022247895640426004,860.2021484375,17
Dataset 2,Cell3,MAW-GME-full-40experts,very_narrow_38_39,LightGBM,0.009013873199991923,0.010232984946172105,0.022233519292914887,887.279296875,17
Dataset 2,Cell3,MAW-GME-full-40experts,very_narrow_38_39,ExtraTrees,0.008535731390605218,0.010273714577684768,0.022145375695022743,30760.1240234375,17
Dataset 2,Cell3,MAW-GME-full-40experts,very_narrow_38_39,HistGB,0.009118699027652829,0.010323235974124587,0.022039142642758875,855.9541015625,17
Dataset 2,Cell3,MAW-GME-full-40experts,full_36_42,LightGBM,0.009282921918736118,0.010538698684561998,0.0215885548571337,887.998046875,17
Dataset 2,Cell3,MAW-GME-full-40experts,full_36_42,HistGB,0.009434213837601794,0.010681926339838402,0.021299086918492152,851.5146484375,17
Dataset 2,Cell3,MAW-GME-full-40experts,narrow_375_395,RandomForest,0.009178280738669957,0.01081256344008342,0.0210417521620332,8551.5634765625,17
Dataset 2,Cell3,MAW-GME-full-40experts,full_36_42,CatBoost,0.009872710893847612,0.010902338698876036,0.020868484107784357,182.48828125,17
Dataset 2,Cell3,MAW-GME-full-40experts,very_narrow_38_39,RandomForest,0.009478687129112828,0.011166602575982048,0.02037462023616497,8569.7451171875,17
Dataset 2,Cell3,MAW-GME-full-40experts,narrow_375_395,XGBoost,0.0100610673864007,0.011366854041578188,0.020015678002992067,664.412109375,17
Dataset 2,Cell3,MAW-GME-full-40experts,very_narrow_38_39,CatBoost,0.010339566321242515,0.011428741422459324,0.019907291894800838,193.068359375,17
Dataset 2,Cell3,MAW-GME-full-40experts,medium_37_40,CatBoost,0.010370353118077496,0.011454725718968755,0.01986213354388073,187.71875,17
Dataset 2,Cell3,MAW-GME-full-40experts,narrow_375_395,KNN,0.010620631697777572,0.011478020611447821,0.019821822946969783,64.5322265625,17
Dataset 2,Cell3,MAW-GME-full-40experts,medium_37_40,KNN,0.011143680876658235,0.01204318717544528,0.0188916188322397,64.5048828125,17
Dataset 2,Cell3,MAW-GME-full-40experts,very_narrow_38_39,KNN,0.01129449285987563,0.012206445218075531,0.01863894853135652,64.5732421875,17
