window,model_name,inner_rmse,inner_mae,inner_valid_folds,inner_model_size_kb,rank_score,n_features,test_cell,dataset
very_narrow_38_39,CatBoost,0.010163811880853394,0.006731684905688048,7,194.005859375,0.011235693500042951,17,Cell4,Dataset 2
narrow_375_395,KNN,0.010412296473347538,0.006145649243023645,7,59.119419642857146,0.01126534112791428,17,Cell4,Dataset 2
very_narrow_38_39,KNN,0.010544324455634463,0.0066091741124379285,7,59.160435267857146,0.011408329546855988,17,Cell4,Dataset 2
narrow_375_395,SVR-RBF,0.01078766747500515,0.004520425855981889,7,23.222098214285715,0.01147533065343211,17,Cell4,Dataset 2
medium_37_40,KNN,0.010774008461389492,0.006551481337694895,7,59.092075892857146,0.01165658894254918,17,Cell4,Dataset 2
narrow_375_395,CatBoost,0.010712249301548035,0.006819526653085843,7,186.57421875,0.011833644965699152,17,Cell4,Dataset 2
medium_37_40,CatBoost,0.010711546773752214,0.0066882147086123195,7,188.6640625,0.011835242533911296,17,Cell4,Dataset 2
medium_37_40,SVR-RBF,0.011401379795946876,0.004545582927412914,7,21.852678571428573,0.012114893725752368,17,Cell4,Dataset 2
full_36_42,Ridge,0.005192057642158301,0.004032420238222147,7,2.1796875,0.005312179314318533,17,Cell5,Dataset 2
narrow_375_395,Ridge,0.005263107500619299,0.004170088300490498,7,2.234375,0.005386667971205288,17,Cell5,Dataset 2
medium_37_40,Ridge,0.005576669587277633,0.004527992147762304,7,2.20703125,0.005706644541848033,17,Cell5,Dataset 2
full_36_42,XGBoost,0.006048182534849135,0.00436190979390199,7,655.4252232142857,0.00683285060686429,17,Cell5,Dataset 2
full_36_42,ExtraTrees,0.005734702351901806,0.00400111575042775,7,28201.297433035714,0.006909990456468232,17,Cell5,Dataset 2
full_36_42,ElasticNet,0.006900159885978962,0.004929010201183827,7,2.2626953125,0.007063356069326387,17,Cell5,Dataset 2
full_36_42,RandomForest,0.006074613927412658,0.00425619773021577,7,7845.936662946428,0.007164141920193932,17,Cell5,Dataset 2
full_36_42,LightGBM,0.0064657690024032405,0.0045207417985401845,7,875.1577845982143,0.007341951333529242,17,Cell5,Dataset 2
full_36_42,HistGB,0.006480612395999814,0.004509236508802588,7,771.0285993303571,0.007342407031409753,17,Cell5,Dataset 2
narrow_375_395,ElasticNet,0.007240012271540424,0.005210733594704265,7,2.3173828125,0.007413653274194051,17,Cell5,Dataset 2
full_36_42,SVR-RBF,0.007164060092197828,0.004769877111345823,7,21.309151785714285,0.007608947792396972,17,Cell5,Dataset 2
very_narrow_38_39,Ridge,0.0074991750349246095,0.005545816244585783,7,2.275390625,0.007677121030058125,17,Cell5,Dataset 2
medium_37_40,ElasticNet,0.007746241260633879,0.006161226118242369,7,2.2900390625,0.00793074114788202,17,Cell5,Dataset 2
medium_37_40,RandomForest,0.006899012328512734,0.004806113513677886,7,7849.056501116072,0.00813645726345427,17,Cell5,Dataset 2
medium_37_40,XGBoost,0.007222045347443008,0.0049940767590105776,7,664.0087890625,0.008160882391579968,17,Cell5,Dataset 2
very_narrow_38_39,ElasticNet,0.008206711928826953,0.005352584409357141,7,2.3583984375,0.008405554683649919,17,Cell5,Dataset 2
full_36_42,KNN,0.007826472438443085,0.006063200058987516,7,59.185267857142854,0.008467840522414718,17,Cell5,Dataset 2
very_narrow_38_39,HistGB,0.007476151949136999,0.005425534735549629,7,778.0830078125,0.008471693926156529,17,Cell5,Dataset 2
very_narrow_38_39,LightGBM,0.007538354765882106,0.005457639455729502,7,877.4440569196429,0.008560277088522165,17,Cell5,Dataset 2
full_36_42,CatBoost,0.0077730411302680425,0.006301406711757224,7,202.44698660714286,0.008599378436007077,17,Cell5,Dataset 2
