scenario,description,exclude_outliers,test_cell,window,model_name,n_features,val_rmse,weight
only_full_window,Only full-window features are available.,False,Cell12,full_32_42,Ridge,19,0.008603888768095676,0.2082431487314468
only_full_window,Only full-window features are available.,False,Cell12,full_32_42,ExtraTrees,19,0.004827231952014825,0.3711649402796202
only_full_window,Only full-window features are available.,False,Cell12,full_32_42,RandomForest,19,0.010710316012251466,0.16728743539508914
only_full_window,Only full-window features are available.,False,Cell12,full_32_42,HistGB,19,0.0965569558654169,0.01855591623842212
only_full_window,Only full-window features are available.,False,Cell12,full_32_42,XGBoost,19,0.012872393610796905,0.13918946492106915
only_full_window,Only full-window features are available.,False,Cell12,full_32_42,LightGBM,19,0.09655695528037211,0.0185559163508536
only_full_window,Only full-window features are available.,False,Cell12,full_32_42,CatBoost,19,0.023267899395791634,0.07700317808349887
only_medium_window,Only medium partial-window features are available.,False,Cell01,medium_35_40,Ridge,19,0.017123499816315935,0.1915455216498887
only_medium_window,Only medium partial-window features are available.,False,Cell01,medium_35_40,ExtraTrees,19,0.017885884824651442,0.18338090726792272
only_medium_window,Only medium partial-window features are available.,False,Cell01,medium_35_40,RandomForest,19,0.019263032442018536,0.17027069478332768
only_medium_window,Only medium partial-window features are available.,False,Cell01,medium_35_40,HistGB,19,0.0923983770233876,0.03549771512150985
only_medium_window,Only medium partial-window features are available.,False,Cell01,medium_35_40,XGBoost,19,0.015080105403556619,0.21750043235542213
only_medium_window,Only medium partial-window features are available.,False,Cell01,medium_35_40,LightGBM,19,0.09239837731617025,0.03549771500902829
only_medium_window,Only medium partial-window features are available.,False,Cell01,medium_35_40,CatBoost,19,0.019722138483365993,0.1663070138129006
only_medium_window,Only medium partial-window features are available.,False,Cell03,medium_35_40,Ridge,19,0.011946850426322441,0.22460648027942434
only_medium_window,Only medium partial-window features are available.,False,Cell03,medium_35_40,ExtraTrees,19,0.011133346515288717,0.2410182649824396
only_medium_window,Only medium partial-window features are available.,False,Cell03,medium_35_40,RandomForest,19,0.013339064129425827,0.2011640571684363
only_medium_window,Only medium partial-window features are available.,False,Cell03,medium_35_40,HistGB,19,0.10040597085946533,0.026724924628758973
only_medium_window,Only medium partial-window features are available.,False,Cell03,medium_35_40,XGBoost,19,0.02179185412148123,0.12313504965831419
only_medium_window,Only medium partial-window features are available.,False,Cell03,medium_35_40,LightGBM,19,0.1004059706428207,0.02672492468642298
only_medium_window,Only medium partial-window features are available.,False,Cell03,medium_35_40,CatBoost,19,0.017132121032884303,0.1566262985962038
only_medium_window,Only medium partial-window features are available.,False,Cell10,medium_35_40,Ridge,19,0.016817127657697592,0.16394354992912297
only_medium_window,Only medium partial-window features are available.,False,Cell10,medium_35_40,ExtraTrees,19,0.014102667720011019,0.1954991315824755
only_medium_window,Only medium partial-window features are available.,False,Cell10,medium_35_40,RandomForest,19,0.01671205085465887,0.16497434225660357
only_medium_window,Only medium partial-window features are available.,False,Cell10,medium_35_40,HistGB,19,0.0913015101498513,0.03019732029351288
only_medium_window,Only medium partial-window features are available.,False,Cell10,medium_35_40,XGBoost,19,0.01132654898559377,0.24341560846117347
only_medium_window,Only medium partial-window features are available.,False,Cell10,medium_35_40,LightGBM,19,0.09130151081106722,0.030197320074820476
only_medium_window,Only medium partial-window features are available.,False,Cell10,medium_35_40,CatBoost,19,0.016050624398979127,0.17177272740229116
