experiment,scenario,description,test_cell,model,exclude_outliers,n_train,n_test,n_features,n_experts,RMSE,MAE,R2
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell10,CatBoost,False,46,12,19,,0.009957320840732952,0.006336452707087816,0.983424493164162
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell11,CatBoost,False,43,15,19,,0.008979567218248106,0.007387069451979133,0.9874226215299413
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell12,CatBoost,False,48,10,19,,0.01687437579551954,0.015063963763647704,0.9601768988045313
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell01,MAW-GME,False,47,11,19,7.0,0.012843536654033514,0.012394558370483876,0.9776913015080003
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell03,MAW-GME,False,48,10,19,7.0,0.020312825177899924,0.01862876238961706,0.856403183898999
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell10,MAW-GME,False,46,12,19,7.0,0.007961113974441806,0.007141496513946651,0.9894043037967813
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell11,MAW-GME,False,43,15,19,7.0,0.007922764590402724,0.007046237784577987,0.9902088698883579
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell12,MAW-GME,False,48,10,19,7.0,0.01456486715437749,0.013451941875198182,0.9703316974234919
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell01,Ridge,False,47,11,19,,0.010198050696173636,0.008514371224599394,0.9859350138732886
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell03,Ridge,False,48,10,19,,0.01786208770314376,0.01726574624582349,0.8889627789908857
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell10,Ridge,False,46,12,19,,0.005871942179803576,0.005078284827715783,0.9942357161865442
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell11,Ridge,False,43,15,19,,0.006509694636371579,0.005644399029021437,0.993390013820652
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell12,Ridge,False,48,10,19,,0.012191147778313621,0.011098232651318485,0.9792140999121608
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell01,ExtraTrees,False,47,11,19,,0.010992010813252098,0.00930759925002172,0.9836597284766387
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell03,ExtraTrees,False,48,10,19,,0.019196122969388028,0.018821490222163017,0.8717577303165979
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell10,ExtraTrees,False,46,12,19,,0.004894801969644845,0.003963393328587972,0.9959945430617896
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell11,ExtraTrees,False,43,15,19,,0.005335285045798314,0.004745810725556658,0.9955598813818131
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell12,ExtraTrees,False,48,10,19,,0.012435970038206913,0.011449336069505878,0.9783708736297904
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell01,RandomForest,False,47,11,19,,0.011300872758432506,0.00970936447074528,0.9827285442194865
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell03,RandomForest,False,48,10,19,,0.01787490957597947,0.017622332171895193,0.8888033109446157
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell10,RandomForest,False,46,12,19,,0.00546032735796894,0.004665544639049317,0.9950155278299655
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell11,RandomForest,False,43,15,19,,0.0038489022630719474,0.0034167505325558714,0.9976892493492101
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell12,RandomForest,False,48,10,19,,0.015558071503350236,0.012690897959388391,0.9661474669900777
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell01,HistGB,False,47,11,19,,0.036816903030616216,0.029064319870212862,0.816684375664134
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell03,HistGB,False,48,10,19,,0.03205357168773338,0.026027561904147577,0.6424333481582178
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell10,HistGB,False,46,12,19,,0.03671866055809371,0.03134707178570734,0.7745991883068175
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell11,HistGB,False,43,15,19,,0.05418921177680488,0.0442909626052977,0.5419583337543923
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell12,HistGB,False,48,10,19,,0.042988807623535456,0.033214697249341917,0.7415417243173101
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell01,XGBoost,False,47,11,19,,0.009695854220282272,0.007819165148650088,0.9872861486538295
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell03,XGBoost,False,48,10,19,,0.02278285465917604,0.022067456645986628,0.8193572948210666
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell10,XGBoost,False,46,12,19,,0.006334571577053517,0.004832944527406846,0.9932916407766529
