exclude_outliers,window,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,mean,std,mean,std,mean,std
True,medium_35_40,ExtraTrees,0.010978931641984302,0.004561575726797028,0.009532189238488371,0.004565445607602499,0.9581719907556259,0.038953433395615286
True,medium_35_40,HistGB,0.05303265756225445,0.027102099345342533,0.04398234530053267,0.02343557945210987,0.10627240782597891,0.8418924198397755
True,medium_35_40,LightGBM,0.053132621602924666,0.026618296093800342,0.04343764726786312,0.023426310683896945,0.11561055026664935,0.8294343067637785
True,medium_35_40,RandomForest,0.013146233349944442,0.0040160181325172685,0.011216163498338696,0.004090952130296321,0.9452586238438764,0.04017016904001058
True,medium_35_40,Ridge,0.017472973701735804,0.00483606203278157,0.014929050996941001,0.0041810056086640434,0.9074247295573155,0.05124907533831116
True,medium_35_40,SVR,0.04450396146012618,0.021119795378029133,0.03354693481437043,0.015860211336348972,0.4040372745677191,0.5310886892278577
True,medium_35_40,XGBoost,0.014521611050656389,0.006170546435925064,0.012041940784201432,0.0063337738555057956,0.9276624306593091,0.07504715967729257
True,narrow_36_385,CatBoost,0.01622019867332708,0.006938883610495795,0.013367114931239285,0.006455693938577678,0.907733366491415,0.09419283397918378
True,narrow_36_385,ElasticNet,0.011891444716434916,0.004875952611279276,0.011038739031282718,0.005215772133844109,0.9512606202219114,0.044561767617112315
True,narrow_36_385,ExtraTrees,0.010702606301223883,0.0061752309550612,0.009952030007926488,0.006277443259516839,0.9544639445560404,0.05515885226881098
True,narrow_36_385,HistGB,0.048716693186463524,0.028965414859732124,0.03973811633416367,0.025402477212255477,0.22036596738041095,0.8701462740358401
True,narrow_36_385,LightGBM,0.04814763790808137,0.029368415226930556,0.03909633195372094,0.025852999293851972,0.23240315409081935,0.8749871976008424
True,narrow_36_385,RandomForest,0.011505438928505909,0.004913022034722421,0.010441893277890557,0.005142504103222976,0.9534920129228184,0.048804006527501706
True,narrow_36_385,Ridge,0.011951040184325376,0.0050247468942776164,0.010838847066377477,0.00520191580577226,0.9502458834037146,0.04761947139331617
True,narrow_36_385,SVR,0.030167898840652824,0.0024836855812257266,0.022728040117972432,0.003129079068038666,0.7504979980528984,0.036745900023860224
True,narrow_36_385,XGBoost,0.013441075607898815,0.00701696670568529,0.011619223982260944,0.006982338315549124,0.935500401856258,0.06689215820092431
True,very_narrow_365_38,CatBoost,0.0199922275176559,0.005873191849609848,0.01620513316947355,0.004660412668133811,0.8746173223003957,0.08582561246358004
True,very_narrow_365_38,ElasticNet,0.024064604928665363,0.006859119872533159,0.022122641979396018,0.0069247538727897325,0.8199016144178246,0.11334634150916562
True,very_narrow_365_38,ExtraTrees,0.013384690224648962,0.004793487234093615,0.010976671539741975,0.00461513094374355,0.9421897640921676,0.04446364480726843
True,very_narrow_365_38,HistGB,0.04860909414650226,0.02897333756167753,0.039254158402185615,0.025868956627674685,0.2258605229648624,0.8693296815552995
True,very_narrow_365_38,LightGBM,0.04956316361168928,0.02835915783710966,0.04088575216520204,0.024908385970283456,0.2086778865403472,0.8589321202099003
True,very_narrow_365_38,RandomForest,0.015809355347440567,0.006027003657497066,0.012881872424169938,0.005525877089961162,0.9181370111657277,0.06697948062214838
True,very_narrow_365_38,Ridge,0.023136184273566607,0.005849013324086297,0.021104456268676575,0.0052029422311525055,0.8401488781831411,0.07864510213459489
True,very_narrow_365_38,SVR,0.03895278510112464,0.009463754238306494,0.032532613722032935,0.011793411252184798,0.5334902618827007,0.34071112264451503
True,very_narrow_365_38,XGBoost,0.017933819639436077,0.006643234672712431,0.014780503183239832,0.0062880197225597175,0.8949798183360436,0.08118328802137484
