window,model_name,inner_rmse,inner_mae,inner_valid_folds,inner_model_size_kb,rank_score,n_features,test_cell,dataset
full_32_42,ElasticNet,0.007423564780308584,0.006491005064570398,4,2.3623046875,0.007603605031269685,19,Cell03,Dataset 1
full_32_42,ExtraTrees,0.00730045062512889,0.006076316185076874,4,1487.466064453125,0.00836711966770853,19,Cell03,Dataset 1
medium_35_40,ExtraTrees,0.008229602374657306,0.006497353245340526,4,1487.915283203125,0.009432079471388478,19,Cell03,Dataset 1
medium_35_40,Ridge,0.009653635835854197,0.008086192977757447,4,2.306640625,0.009884537822277217,19,Cell03,Dataset 1
narrow_36_385,RandomForest,0.00888086510884897,0.0071494168337571384,4,980.052001953125,0.010104404180056113,19,Cell03,Dataset 1
full_32_42,RandomForest,0.009413896662697865,0.007752603131148899,4,979.80078125,0.01071082460961338,19,Cell03,Dataset 1
medium_35_40,ElasticNet,0.010725426892842185,0.00877118462723101,4,2.3896484375,0.010987283087329085,19,Cell03,Dataset 1
narrow_36_385,CatBoost,0.011149612219437336,0.008498926827713206,4,104.517578125,0.012188505782056968,19,Cell03,Dataset 1
medium_35_40,RandomForest,0.010858968434622434,0.009162005877748312,4,980.038330078125,0.012355032738148312,19,Cell03,Dataset 1
very_narrow_365_38,ExtraTrees,0.011166336108114912,0.00877084146667376,4,1489.895751953125,0.012798214034098157,19,Cell03,Dataset 1
full_32_42,CatBoost,0.012537261477417532,0.010213020252069606,4,104.33984375,0.013705030086998115,19,Cell03,Dataset 1
medium_35_40,CatBoost,0.013731590281845738,0.01111996209910771,4,104.4375,0.01501085773800709,19,Cell03,Dataset 1
very_narrow_365_38,RandomForest,0.01385278406128854,0.01148549162959957,4,980.33056640625,0.015761395540144715,19,Cell03,Dataset 1
very_narrow_365_38,CatBoost,0.014920174398850919,0.01189174868546362,4,104.517578125,0.016310399711719305,19,Cell03,Dataset 1
full_32_42,XGBoost,0.014629961990172705,0.01274587651583537,4,331.201904296875,0.01632871795785141,19,Cell03,Dataset 1
very_narrow_365_38,ElasticNet,0.01611757268059081,0.013123353719429796,4,2.4716796875,0.016518783722097315,19,Cell03,Dataset 1
narrow_36_385,XGBoost,0.015381100123203302,0.013300837462599501,4,330.463134765625,0.017166389519828535,19,Cell03,Dataset 1
very_narrow_365_38,Ridge,0.017656523187629957,0.015139355129997959,4,2.388671875,0.018087497048331572,19,Cell03,Dataset 1
medium_35_40,XGBoost,0.016365717901914916,0.014096076198552325,4,335.052001953125,0.018269792560652153,19,Cell03,Dataset 1
very_narrow_365_38,XGBoost,0.018564334555111868,0.016147789785659346,4,339.857421875,0.02072947962901025,19,Cell03,Dataset 1
full_32_42,SVR,0.02256250618796174,0.01654270169363157,4,6.5419921875,0.023474250909305713,19,Cell03,Dataset 1
narrow_36_385,SVR,0.023304453555265937,0.017918212846978622,4,6.5029296875,0.024243759862970667,19,Cell03,Dataset 1
medium_35_40,SVR,0.02393163580603843,0.01799407122300232,4,7.009765625,0.024927508471280085,19,Cell03,Dataset 1
very_narrow_365_38,SVR,0.024236434898245923,0.019515500006269136,4,7.2919921875,0.02526177678810962,19,Cell03,Dataset 1
full_32_42,LightGBM,0.0890783116302206,0.07581218865118518,4,5.748046875,0.09247977250256222,19,Cell03,Dataset 1
medium_35_40,LightGBM,0.0890783116302206,0.07581218865118518,4,5.775390625,0.0924869769974341,19,Cell03,Dataset 1
narrow_36_385,LightGBM,0.0890783116302206,0.07581218865118518,4,5.7890625,0.09249056834886718,19,Cell03,Dataset 1
very_narrow_365_38,LightGBM,0.0890783116302206,0.07581218865118518,4,5.857421875,0.09250841730827977,19,Cell03,Dataset 1
full_32_42,HistGB,0.08907831170802241,0.07581218876259932,4,55.2880859375,0.09625888394165077,19,Cell03,Dataset 1
narrow_36_385,HistGB,0.08907831170802241,0.07581218876259932,4,55.326416015625,0.09626009670864602,19,Cell03,Dataset 1
medium_35_40,HistGB,0.08907831170802241,0.07581218876259932,4,55.327880859375,0.09626014304005523,19,Cell03,Dataset 1
very_narrow_365_38,HistGB,0.08907831170802241,0.07581218876259932,4,55.388916015625,0.0962620724452036,19,Cell03,Dataset 1
full_32_42,ExtraTrees,0.012092062021428363,0.011034086015887368,4,1424.00244140625,0.013848295891767809,19,Cell10,Dataset 1
full_32_42,RandomForest,0.012581450293024871,0.011257030598826384,4,939.7783203125,0.01430428050296956,19,Cell10,Dataset 1
narrow_36_385,RandomForest,0.013662611804635238,0.011681279102098471,4,939.855224609375,0.015533512284097904,19,Cell10,Dataset 1
medium_35_40,RandomForest,0.013904871218559947,0.01268858054601381,4,940.017333984375,0.015808993593227964,19,Cell10,Dataset 1
narrow_36_385,ExtraTrees,0.014191660336230842,0.01292252251810182,4,1424.74658203125,0.016252985056115225,19,Cell10,Dataset 1
medium_35_40,ExtraTrees,0.014589476212213747,0.013374295904442047,4,1425.47119140625,0.016708731556178694,19,Cell10,Dataset 1
very_narrow_365_38,ExtraTrees,0.01523912594712578,0.013217750889540867,4,1426.78369140625,0.017453029180834446,19,Cell10,Dataset 1
narrow_36_385,CatBoost,0.0163302216310802,0.013718895798821207,4,104.33203125,0.017851256870491217,19,Cell10,Dataset 1
full_32_42,CatBoost,0.016908927929534544,0.01389899773052629,4,104.375,0.01848400316142583,19,Cell10,Dataset 1
narrow_36_385,Ridge,0.018300248851575683,0.015724771335290752,4,2.3203125,0.018739476383538428,19,Cell10,Dataset 1
full_32_42,ElasticNet,0.018372683601388044,0.016056910763916264,4,2.3623046875,0.018818267719573015,19,Cell10,Dataset 1
