dataset,test_cell,deployment_model,expert_window,expert_model,expert_inner_rmse,expert_rank_score,expert_weight,expert_model_size_kb,n_features
Dataset 1,Cell10,MAW-GME-full-36experts,full_32_42,ExtraTrees,0.012092062021428363,0.013848295891767809,0.05246695201666154,1868.14453125,19
Dataset 1,Cell10,MAW-GME-full-36experts,full_32_42,RandomForest,0.012581450293024871,0.01430428050296956,0.05079443825505332,1221.4677734375,19
Dataset 1,Cell10,MAW-GME-full-36experts,narrow_36_385,RandomForest,0.013662611804635238,0.015533512284097904,0.046774864544357156,1221.6494140625,19
Dataset 1,Cell10,MAW-GME-full-36experts,medium_35_40,RandomForest,0.013904871218559947,0.015808993593227964,0.045959784653769965,1221.7763671875,19
Dataset 1,Cell10,MAW-GME-full-36experts,narrow_36_385,ExtraTrees,0.014191660336230842,0.016252985056115225,0.044704277471742423,1869.029296875,19
Dataset 1,Cell10,MAW-GME-full-36experts,medium_35_40,ExtraTrees,0.014589476212213747,0.016708731556178694,0.04348492663510932,1869.015625,19
Dataset 1,Cell10,MAW-GME-full-36experts,very_narrow_365_38,ExtraTrees,0.01523912594712578,0.017453029180834446,0.04163048012481998,1873.73828125,19
Dataset 1,Cell10,MAW-GME-full-36experts,narrow_36_385,CatBoost,0.0163302216310802,0.017851256870491217,0.040701783576855985,105.103515625,19
Dataset 1,Cell10,MAW-GME-full-36experts,full_32_42,CatBoost,0.016908927929534544,0.01848400316142583,0.03930847670308549,104.5234375,19
Dataset 1,Cell10,MAW-GME-full-36experts,narrow_36_385,Ridge,0.018300248851575683,0.018739476383538428,0.038772588846068406,2.3203125,19
Dataset 1,Cell10,MAW-GME-full-36experts,full_32_42,ElasticNet,0.018372683601388044,0.018818267719573015,0.03861024964998331,2.3623046875,19
Dataset 1,Cell10,MAW-GME-full-36experts,full_32_42,Ridge,0.019113965301737163,0.019567971303931373,0.03713098400137254,2.279296875,19
Dataset 1,Cell10,MAW-GME-full-36experts,very_narrow_365_38,RandomForest,0.017431292384659652,0.019818532290662303,0.036661546045077556,1222.1396484375,19
Dataset 1,Cell10,MAW-GME-full-36experts,medium_35_40,CatBoost,0.019300339633047642,0.021098919446394176,0.03443674251726576,105.26171875,19
Dataset 1,Cell10,MAW-GME-full-36experts,narrow_36_385,ElasticNet,0.020619157321541737,0.021124224205963573,0.03439549067915147,2.4033203125,19
Dataset 1,Cell10,MAW-GME-full-36experts,narrow_36_385,XGBoost,0.019739693905396687,0.022034539224196268,0.032974507140703053,340.146484375,19
Dataset 1,Cell10,MAW-GME-full-36experts,full_32_42,XGBoost,0.019855148319711496,0.022161619106739916,0.03278542372656448,338.373046875,19
Dataset 1,Cell10,MAW-GME-full-36experts,medium_35_40,XGBoost,0.01991322662883096,0.022227733034791145,0.03268790716170252,339.7353515625,19
Dataset 1,Cell10,MAW-GME-full-36experts,very_narrow_365_38,CatBoost,0.02065190125209286,0.022576691483497273,0.03218266411798617,105.0859375,19
Dataset 1,Cell10,MAW-GME-full-36experts,medium_35_40,Ridge,0.022306606388625267,0.022840150414220287,0.0318114403558683,2.306640625,19
Dataset 1,Cell10,MAW-GME-full-36experts,very_narrow_365_38,XGBoost,0.02219455086075809,0.024779547370660564,0.029321686011862122,347.41015625,19
Dataset 1,Cell10,MAW-GME-full-36experts,medium_35_40,ElasticNet,0.0273189515349876,0.027985930738500517,0.025962264678702482,2.3896484375,19
Dataset 1,Cell10,MAW-GME-full-36experts,very_narrow_365_38,Ridge,0.037495893421635944,0.0384111217356508,0.018915829029350587,2.388671875,19
Dataset 1,Cell10,MAW-GME-full-36experts,full_32_42,SVR,0.039706909646083914,0.04133635613150397,0.017577219981649055,7.623046875,19
Dataset 1,Cell10,MAW-GME-full-36experts,very_narrow_365_38,ElasticNet,0.04129875455572151,0.04232679498442552,0.017165916515616594,2.4716796875,19
Dataset 1,Cell10,MAW-GME-full-36experts,narrow_36_385,SVR,0.04705660141181758,0.04893806989510525,0.014846892282917393,7.18359375,19
Dataset 1,Cell10,MAW-GME-full-36experts,medium_35_40,SVR,0.04766532062503591,0.049604945547146395,0.014647294664841817,7.974609375,19
Dataset 1,Cell10,MAW-GME-full-36experts,very_narrow_365_38,SVR,0.048554812427791846,0.05057070649012721,0.014367571811589439,8.857421875,19
Dataset 1,Cell10,MAW-GME-full-36experts,full_32_42,LightGBM,0.09315613669860912,0.09671330957492265,0.00751270253082939,104.0693359375,19
Dataset 1,Cell10,MAW-GME-full-36experts,medium_35_40,LightGBM,0.09315613669860912,0.09672084387700862,0.007512117310909585,104.48828125,19
