experiment,window,test_cell,model,exclude_outliers,n_train,n_test,n_features,RMSE,MAE,R2,n_val,seq_len,n_experts
MultiHI-Tabular,full_27_36,Cell53,Ridge,False,230.0,58.0,17,0.00827179966384481,0.006455716941625322,0.9763638455852826,,,
MultiHI-Tabular,full_27_36,Cell53,ElasticNet,False,230.0,58.0,17,0.007938381307579283,0.006149632181237275,0.9782308879510475,,,
MultiHI-Tabular,full_27_36,Cell53,SVR-RBF,False,230.0,58.0,17,0.016452622180906377,0.00476533167356932,0.9064923693749689,,,
MultiHI-Tabular,full_27_36,Cell53,KNN,False,230.0,58.0,17,0.014484229308938138,0.007165433383463073,0.9275284438411038,,,
MultiHI-Tabular,full_27_36,Cell53,RandomForest,False,230.0,58.0,17,0.002330445929016703,0.00160877727274328,0.9981239048311872,,,
MultiHI-Tabular,full_27_36,Cell53,ExtraTrees,False,230.0,58.0,17,0.0024700654473060572,0.0016349076625919235,0.997892373141171,,,
MultiHI-Tabular,full_27_36,Cell53,HistGB,False,230.0,58.0,17,0.005867821100844467,0.0032904065134292766,0.9881059288429908,,,
MultiHI-Tabular,full_27_36,Cell53,XGBoost,False,230.0,58.0,17,0.003148537409853626,0.0020033475101224733,0.9965755209084861,,,
MultiHI-Tabular,full_27_36,Cell53,LightGBM,False,230.0,58.0,17,0.006177567066899336,0.003726203327533658,0.9868170762123951,,,
MultiHI-Tabular,full_27_36,Cell53,CatBoost,False,230.0,58.0,17,0.004178558446848093,0.00342439228143795,0.9939684384273596,,,
MultiHI-Tabular,full_27_36,Cell54,Ridge,False,230.0,58.0,17,0.01484381469172056,0.013912360333220295,0.9219463352256126,,,
MultiHI-Tabular,full_27_36,Cell54,ElasticNet,False,230.0,58.0,17,0.009780410011702094,0.008460675317806244,0.966114306842705,,,
MultiHI-Tabular,full_27_36,Cell54,SVR-RBF,False,230.0,58.0,17,0.014684559284327709,0.006582806536384768,0.923612185523145,,,
MultiHI-Tabular,full_27_36,Cell54,KNN,False,230.0,58.0,17,0.009015906542851046,0.006281336196894085,0.9712047367477742,,,
MultiHI-Tabular,full_27_36,Cell54,RandomForest,False,230.0,58.0,17,0.002524829278000812,0.0015272338930257582,0.9977417798093184,,,
MultiHI-Tabular,full_27_36,Cell54,ExtraTrees,False,230.0,58.0,17,0.002382986960862365,0.0015653262141856702,0.9979883816769327,,,
MultiHI-Tabular,full_27_36,Cell54,HistGB,False,230.0,58.0,17,0.004619592514287936,0.003043864578391924,0.9924402124881014,,,
MultiHI-Tabular,full_27_36,Cell54,XGBoost,False,230.0,58.0,17,0.0028931165342823742,0.0020158231401471017,0.9970349357712166,,,
MultiHI-Tabular,full_27_36,Cell54,LightGBM,False,230.0,58.0,17,0.004927222127373884,0.0027925398789239663,0.9913998399485242,,,
MultiHI-Tabular,full_27_36,Cell54,CatBoost,False,230.0,58.0,17,0.005765589466198672,0.00400481322644188,0.988224220038542,,,
MultiHI-Tabular,full_27_36,Cell55,Ridge,False,231.0,57.0,17,0.020804514329027187,0.01975583025613806,0.8407238282327599,,,
MultiHI-Tabular,full_27_36,Cell55,ElasticNet,False,231.0,57.0,17,0.017115750900780654,0.016533189199220998,0.8921978159836937,,,
MultiHI-Tabular,full_27_36,Cell55,SVR-RBF,False,231.0,57.0,17,0.019657507944509683,0.009050960392698273,0.8578023023228704,,,
MultiHI-Tabular,full_27_36,Cell55,KNN,False,231.0,57.0,17,0.01634418641139126,0.010359275463714655,0.9016980214787076,,,
MultiHI-Tabular,full_27_36,Cell55,RandomForest,False,231.0,57.0,17,0.004078918841111539,0.0025866263914106867,0.9938775425797008,,,
MultiHI-Tabular,full_27_36,Cell55,ExtraTrees,False,231.0,57.0,17,0.004846406207661691,0.0029668821082674116,0.9913567859274193,,,
MultiHI-Tabular,full_27_36,Cell55,HistGB,False,231.0,57.0,17,0.006447473567310471,0.0038509365656954307,0.9847026999331144,,,
MultiHI-Tabular,full_27_36,Cell55,XGBoost,False,231.0,57.0,17,0.0047204871931329825,0.0032863033504421197,0.9918000860956102,,,
MultiHI-Tabular,full_27_36,Cell55,LightGBM,False,231.0,57.0,17,0.006924695811873854,0.0043330437602552615,0.9823543749789573,,,
MultiHI-Tabular,full_27_36,Cell55,CatBoost,False,231.0,57.0,17,0.009993110138008547,0.008055187766127538,0.9632517220113112,,,
MultiHI-Tabular,medium_32_35,Cell51,Ridge,False,231.0,57.0,17,0.004906480013203443,0.003718144713624223,0.9919645708766224,,,
MultiHI-Tabular,medium_32_35,Cell51,ElasticNet,False,231.0,57.0,17,0.004048310779514167,0.002981259760317735,0.99452963006714,,,
MultiHI-Tabular,medium_32_35,Cell51,SVR-RBF,False,231.0,57.0,17,0.005148063570148937,0.003564618294483084,0.9911537988822738,,,
MultiHI-Tabular,medium_32_35,Cell51,KNN,False,231.0,57.0,17,0.009370678244772179,0.006829606821699409,0.9706903212283788,,,
MultiHI-Tabular,medium_32_35,Cell51,RandomForest,False,231.0,57.0,17,0.004124307347587203,0.002322324830458038,0.9943223181854188,,,
MultiHI-Tabular,medium_32_35,Cell51,ExtraTrees,False,231.0,57.0,17,0.004282217433937316,0.002583730958889023,0.9938792246894479,,,
MultiHI-Tabular,medium_32_35,Cell51,HistGB,False,231.0,57.0,17,0.006300839066364176,0.003618123650857797,0.9867484774187852,,,
MultiHI-Tabular,medium_32_35,Cell51,XGBoost,False,231.0,57.0,17,0.004796935845804461,0.0029592645355311434,0.9923193703036055,,,
MultiHI-Tabular,medium_32_35,Cell51,LightGBM,False,231.0,57.0,17,0.005971098627115172,0.003581607272057124,0.9880991633005912,,,
MultiHI-Tabular,medium_32_35,Cell51,CatBoost,False,231.0,57.0,17,0.0076664630860957435,0.0059943110734992896,0.9803818024067569,,,
MultiHI-Tabular,medium_32_35,Cell52,Ridge,False,230.0,58.0,17,0.004340140163623026,0.0038063305804970234,0.9934259375910341,,,
MultiHI-Tabular,medium_32_35,Cell52,ElasticNet,False,230.0,58.0,17,0.004570964496290532,0.004034020409377425,0.9927080781021593,,,
MultiHI-Tabular,medium_32_35,Cell52,SVR-RBF,False,230.0,58.0,17,0.00470290536866043,0.003000855440869306,0.9922810399660159,,,
MultiHI-Tabular,medium_32_35,Cell52,KNN,False,230.0,58.0,17,0.006066858524401867,0.004463811117312686,0.9871544102615184,,,
