scenario,scenario_description,exclude_outliers,test_cell,window,model_name,n_features,val_rmse,weight
all_windows_available,All voltage-window features are available.,False,Cell55,very_narrow_335_340,HistGB,13,0.006934890396387834,0.019304087382903425
all_windows_available,All voltage-window features are available.,False,Cell55,very_narrow_335_340,XGBoost,13,0.004396218153176704,0.03045154131658677
all_windows_available,All voltage-window features are available.,False,Cell55,very_narrow_335_340,LightGBM,13,0.007038669492977031,0.019019465707619657
all_windows_available,All voltage-window features are available.,False,Cell55,very_narrow_335_340,CatBoost,13,0.006551779300837867,0.02043287979765807
only_full_window,Only full-window features are available.,False,Cell51,full_27_36,Ridge,13,0.01840891993829933,0.03819274361074774
only_full_window,Only full-window features are available.,False,Cell51,full_27_36,ExtraTrees,13,0.003832868967752496,0.18343588388702953
only_full_window,Only full-window features are available.,False,Cell51,full_27_36,RandomForest,13,0.002699868978111986,0.2604144656044363
only_full_window,Only full-window features are available.,False,Cell51,full_27_36,HistGB,13,0.006854592312154012,0.10257160215334855
only_full_window,Only full-window features are available.,False,Cell51,full_27_36,XGBoost,13,0.0028504788489593412,0.24665507515960575
only_full_window,Only full-window features are available.,False,Cell51,full_27_36,LightGBM,13,0.007164684331378594,0.09813224525189197
only_full_window,Only full-window features are available.,False,Cell51,full_27_36,CatBoost,13,0.009959021379223559,0.07059798433294018
only_full_window,Only full-window features are available.,False,Cell52,full_27_36,Ridge,13,0.021539934772171716,0.0463026768500834
only_full_window,Only full-window features are available.,False,Cell52,full_27_36,ExtraTrees,13,0.0047876129066099955,0.2083198951984119
only_full_window,Only full-window features are available.,False,Cell52,full_27_36,RandomForest,13,0.005126972073893708,0.19453102971297567
only_full_window,Only full-window features are available.,False,Cell52,full_27_36,HistGB,13,0.008504019668175962,0.11728052947496767
only_full_window,Only full-window features are available.,False,Cell52,full_27_36,XGBoost,13,0.005055725916232616,0.197272388961667
only_full_window,Only full-window features are available.,False,Cell52,full_27_36,LightGBM,13,0.007957799057839192,0.12533061485962893
only_full_window,Only full-window features are available.,False,Cell52,full_27_36,CatBoost,13,0.008988196123494012,0.11096286494226557
only_full_window,Only full-window features are available.,False,Cell53,full_27_36,Ridge,13,0.02070074653847356,0.05237202849158227
only_full_window,Only full-window features are available.,False,Cell53,full_27_36,ExtraTrees,13,0.005999598751488846,0.18070188509562526
only_full_window,Only full-window features are available.,False,Cell53,full_27_36,RandomForest,13,0.006037718677710777,0.17956100200933514
only_full_window,Only full-window features are available.,False,Cell53,full_27_36,HistGB,13,0.007790677565330259,0.13915852768308093
only_full_window,Only full-window features are available.,False,Cell53,full_27_36,XGBoost,13,0.005371394161744579,0.20183560547380724
only_full_window,Only full-window features are available.,False,Cell53,full_27_36,LightGBM,13,0.007608651303766194,0.1424876950027476
only_full_window,Only full-window features are available.,False,Cell53,full_27_36,CatBoost,13,0.01043613390259089,0.10388325624382155
only_full_window,Only full-window features are available.,False,Cell54,full_27_36,Ridge,13,0.020855548141252102,0.09476305009700146
only_full_window,Only full-window features are available.,False,Cell54,full_27_36,ExtraTrees,13,0.01211435385339666,0.16313991595904306
only_full_window,Only full-window features are available.,False,Cell54,full_27_36,RandomForest,13,0.013854028740517478,0.14265416301748982
only_full_window,Only full-window features are available.,False,Cell54,full_27_36,HistGB,13,0.015058877149938348,0.13124052801926278
only_full_window,Only full-window features are available.,False,Cell54,full_27_36,XGBoost,13,0.012891953210524882,0.15329987129709902
only_full_window,Only full-window features are available.,False,Cell54,full_27_36,LightGBM,13,0.012534602880902848,0.15767031018177305
only_full_window,Only full-window features are available.,False,Cell54,full_27_36,CatBoost,13,0.012569532280580097,0.15723216142833088
only_full_window,Only full-window features are available.,False,Cell55,full_27_36,Ridge,13,0.02030940025326974,0.07716888487395093
only_full_window,Only full-window features are available.,False,Cell55,full_27_36,ExtraTrees,13,0.009196746418728615,0.17041383617606706
only_full_window,Only full-window features are available.,False,Cell55,full_27_36,RandomForest,13,0.011965923562618608,0.13097636999995474
only_full_window,Only full-window features are available.,False,Cell55,full_27_36,HistGB,13,0.012506612739614969,0.12531396959213478
only_full_window,Only full-window features are available.,False,Cell55,full_27_36,XGBoost,13,0.011432932180338784,0.13708234651860804
only_full_window,Only full-window features are available.,False,Cell55,full_27_36,LightGBM,13,0.010750722344900586,0.1457811887983436
only_full_window,Only full-window features are available.,False,Cell55,full_27_36,CatBoost,13,0.007348904591045071,0.213263404040941
only_medium_window,Only medium-window features are available.,False,Cell51,medium_32_35,Ridge,13,0.01174570333821069,0.044078585609670054
only_medium_window,Only medium-window features are available.,False,Cell51,medium_32_35,ExtraTrees,13,0.003296249612009379,0.1570672495087108
only_medium_window,Only medium-window features are available.,False,Cell51,medium_32_35,RandomForest,13,0.0026337638530600565,0.196575127482351
only_medium_window,Only medium-window features are available.,False,Cell51,medium_32_35,HistGB,13,0.0055480664739927694,0.09331782525924104
only_medium_window,Only medium-window features are available.,False,Cell51,medium_32_35,XGBoost,13,0.001503800822521683,0.34428162317437927
only_medium_window,Only medium-window features are available.,False,Cell51,medium_32_35,LightGBM,13,0.005721553935055584,0.09048827152884618
only_medium_window,Only medium-window features are available.,False,Cell51,medium_32_35,CatBoost,13,0.006978359556060039,0.0741913174368017
only_medium_window,Only medium-window features are available.,False,Cell52,medium_32_35,Ridge,13,0.01333642272645361,0.07689121758624
only_medium_window,Only medium-window features are available.,False,Cell52,medium_32_35,ExtraTrees,13,0.005920592362037292,0.1732010508202978
only_medium_window,Only medium-window features are available.,False,Cell52,medium_32_35,RandomForest,13,0.005146762531976579,0.19924225215373534
only_medium_window,Only medium-window features are available.,False,Cell52,medium_32_35,HistGB,13,0.007659526466335429,0.13387945277119453
only_medium_window,Only medium-window features are available.,False,Cell52,medium_32_35,XGBoost,13,0.00554190439900767,0.18503615840360385
only_medium_window,Only medium-window features are available.,False,Cell52,medium_32_35,LightGBM,13,0.007705673481709386,0.13307768908858883
only_medium_window,Only medium-window features are available.,False,Cell52,medium_32_35,CatBoost,13,0.010392529813693383,0.09867217917633958
only_medium_window,Only medium-window features are available.,False,Cell53,medium_32_35,Ridge,13,0.011614255499522474,0.07531211729288326
only_medium_window,Only medium-window features are available.,False,Cell53,medium_32_35,ExtraTrees,13,0.004736281274082678,0.1846792933443762
only_medium_window,Only medium-window features are available.,False,Cell53,medium_32_35,RandomForest,13,0.0041055391074276545,0.21305187264433115
only_medium_window,Only medium-window features are available.,False,Cell53,medium_32_35,HistGB,13,0.007864295462345468,0.11122341696400144
only_medium_window,Only medium-window features are available.,False,Cell53,medium_32_35,XGBoost,13,0.004355868174082907,0.20080794058361923
only_medium_window,Only medium-window features are available.,False,Cell53,medium_32_35,LightGBM,13,0.007514469729753989,0.11640126223340813
only_medium_window,Only medium-window features are available.,False,Cell53,medium_32_35,CatBoost,13,0.008877969628949644,0.0985240969373805
only_medium_window,Only medium-window features are available.,False,Cell54,medium_32_35,Ridge,13,0.009810961762521815,0.10298227064127331
only_medium_window,Only medium-window features are available.,False,Cell54,medium_32_35,ExtraTrees,13,0.005423073525371916,0.18630658085477697
only_medium_window,Only medium-window features are available.,False,Cell54,medium_32_35,RandomForest,13,0.005277757558381412,0.1914362726523273
only_medium_window,Only medium-window features are available.,False,Cell54,medium_32_35,HistGB,13,0.00907613867017601,0.11131992059825067
only_medium_window,Only medium-window features are available.,False,Cell54,medium_32_35,XGBoost,13,0.005580464430326053,0.18105201661911016
only_medium_window,Only medium-window features are available.,False,Cell54,medium_32_35,LightGBM,13,0.009727454054644421,0.10386634621584778
only_medium_window,Only medium-window features are available.,False,Cell54,medium_32_35,CatBoost,13,0.008211824621248018,0.12303659241841379
