exclude_outliers,window,experiment,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,,mean,std,mean,std,mean,std
False,very_narrow_335_340,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.061381871925821604,0.04905898824921654,0.04209925898079231,0.03493878855930005,-0.9925730315967798,2.3486280668689075
False,very_narrow_335_340,MultiHI-Tabular,CatBoost,0.00488032203847803,0.0013952068211758133,0.0033962971349034616,0.0012503502194466058,0.9910125188440801,0.005480624079035637
False,very_narrow_335_340,MultiHI-Tabular,ElasticNet,0.006807646358562461,0.0038334274336060924,0.004459914022927832,0.0017875327371147398,0.9793449080698547,0.022735232632275722
False,very_narrow_335_340,MultiHI-Tabular,ExtraTrees,0.0026008991240397046,0.001251281624612269,0.0016993310587001182,0.0007056276905766938,0.9971931704385073,0.0024451541329642123
False,very_narrow_335_340,MultiHI-Tabular,HistGB,0.004866355332768564,0.0006205861883237264,0.0027417043149143712,0.0006091534771376782,0.9915674991974747,0.0023086146449023673
False,very_narrow_335_340,MultiHI-Tabular,KNN,0.01325987586535326,0.005282098116498982,0.009199046725598663,0.002329427776015808,0.9304619565414264,0.060728963320906146
False,very_narrow_335_340,MultiHI-Tabular,LightGBM,0.005066673788753064,0.0007379777929688077,0.003000696227717919,0.0005849030439881699,0.9908090865531738,0.0027664534912148035
False,very_narrow_335_340,MultiHI-Tabular,RandomForest,0.0025460405776984224,0.0011403195288365402,0.0015965549568076214,0.0005578063107128981,0.9973722803921377,0.0021805394576819197
False,very_narrow_335_340,MultiHI-Tabular,Ridge,0.007653349892490656,0.0031615973324132293,0.005264388960328258,0.0014753633017896503,0.9765153967519213,0.020458952590845472
False,very_narrow_335_340,MultiHI-Tabular,SVR-RBF,0.010411538563514499,0.007562985807817738,0.006834165121367894,0.004677423909805605,0.9465186772471045,0.06359065806025144
False,very_narrow_335_340,MultiHI-Tabular,XGBoost,0.003311630903812858,0.001636989962125058,0.0021804522967902194,0.0010472567713284318,0.9953703407145735,0.0040616287494015905
False,very_narrow_335_340,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.018741686376279536,0.010096960971758023,0.013034960342479973,0.005237970519179233,0.8483251566554026,0.16950160990285693
True,adaptive_all_windows,MAW-GME,MAW-GME,0.0029321054597015016,0.0016016566083858544,0.002116346532768351,0.0011544026525700346,0.9962433953017887,0.003704730995378739
True,full_27_36,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.01564616891498405,0.015652381914572796,0.01219402757768104,0.013423831179263856,0.8442969655575036,0.2777444449792938
True,full_27_36,MultiHI-DeepSequence,GRU,0.07041261387795429,0.013129593962667233,0.05131074058132725,0.00827078867369394,-0.8858390891861518,0.6754865534814498
True,full_27_36,MultiHI-DeepSequence,LSTM,0.03915324666713034,0.014999703409879543,0.028463137294399116,0.010562251112047675,0.36917066108848584,0.42792871307515135
True,full_27_36,MultiHI-DeepSequence,TCN,0.07312243771822804,0.029798924996493135,0.06190036246411482,0.02914050919827579,-1.2721323501215132,1.5330976178557734
True,full_27_36,MultiHI-DeepSequence,TransformerEncoder,0.042437686309998154,0.046984041521432394,0.030062029525531282,0.03502673686154013,-0.275217844209156,2.3591944139038015
True,full_27_36,MultiHI-Tabular,CatBoost,0.006940426840820334,0.002167871495928123,0.005338495593746278,0.0018115618736946287,0.9816499521409646,0.0115574689199572
True,full_27_36,MultiHI-Tabular,ElasticNet,0.011210897770151934,0.0034830875155644975,0.009762093893831396,0.003947647761194414,0.9519041611184615,0.03413996875521453
True,full_27_36,MultiHI-Tabular,ExtraTrees,0.0036753298050966167,0.0013699476273657967,0.002244061227519672,0.0008029194004004438,0.9947586621582474,0.00364421864648234
True,full_27_36,MultiHI-Tabular,HistGB,0.0056660236440096755,0.0007062644486240158,0.003365347377110019,0.00032675373313607387,0.9886120544229999,0.0028666149708609203
True,full_27_36,MultiHI-Tabular,KNN,0.01677747453522658,0.009758672678817026,0.010424506731900611,0.005856585824596024,0.8776229997239436,0.14277181685254522
True,full_27_36,MultiHI-Tabular,LightGBM,0.006073295294450465,0.0007327173531374655,0.003772425660584723,0.0005891716101554551,0.9869202424359329,0.0032231511359254146
True,full_27_36,MultiHI-Tabular,RandomForest,0.0032651087243291176,0.0012574427238220213,0.001967283732895172,0.0007201600313848102,0.9958505895013605,0.0030839482689234117
True,full_27_36,MultiHI-Tabular,Ridge,0.01397525888846926,0.0045301596943865974,0.012526134544368971,0.004865655963701736,0.9248177469145764,0.05091170214518644
True,full_27_36,MultiHI-Tabular,SVR-RBF,0.014915585389629707,0.0056727462857575454,0.007001975175811024,0.0029090237195215462,0.912904080056429,0.04956693465349209
True,full_27_36,MultiHI-Tabular,XGBoost,0.004240037856840867,0.0011459833792469424,0.0028843116496335757,0.0008061982593897561,0.9933628049170601,0.003205619861879322
True,full_27_36,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.011681051070879689,0.004660543057215275,0.009584959566759012,0.004505214373358179,0.9458444741392796,0.0482283841900032
True,medium_32_35,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.04264430365350116,0.04532047099006315,0.02691134352629007,0.030100896414706736,-0.21788705024109864,1.636022410050677
