exclude_outliers,window,experiment,model,RMSE,MAE,R2
True,medium_32_35,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.011990247634829075,0.009696489198346798,0.9338757388077019
True,medium_32_35,MultiHI-DeepSequence,TransformerEncoder,0.024774148238629057,0.017667858725264822,0.6989145142656319
True,medium_32_35,MultiHI-DeepSequence,LSTM,0.03454527986867733,0.027393587183061934,0.5391954324318112
True,medium_32_35,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.04264430365350116,0.02691134352629007,-0.21788705024109864
True,medium_32_35,MultiHI-DeepSequence,TCN,0.0638712533915077,0.05196089421741494,-0.5886540201562392
True,medium_32_35,MultiHI-DeepSequence,GRU,0.09506268342324095,0.07839764766364772,-2.9442590520281406
True,narrow_33_345,MultiHI-Tabular,RandomForest,0.0027059876579969347,0.0016802497341917469,0.9968545413457243
True,narrow_33_345,MultiHI-Tabular,ExtraTrees,0.0028158722673887987,0.0018531954373303759,0.9964506944291435
True,narrow_33_345,MultiHI-Tabular,XGBoost,0.003404584873916533,0.002193630945617429,0.9952048882600014
True,narrow_33_345,MultiHI-Tabular,HistGB,0.004796524955611909,0.0028261747191918466,0.9914371592506261
True,narrow_33_345,MultiHI-Tabular,LightGBM,0.005236489760794846,0.0032218971133126167,0.9898667348858854
True,narrow_33_345,MultiHI-Tabular,CatBoost,0.005907581414425676,0.004632640102793686,0.9861981325409175
True,narrow_33_345,MultiHI-Tabular,ElasticNet,0.0061618629283873485,0.005139886044514678,0.9850291598382803
True,narrow_33_345,MultiHI-Tabular,Ridge,0.006216254840158524,0.0052339914591665185,0.9843555233455945
True,narrow_33_345,MultiHI-Tabular,SVR-RBF,0.006721440584189707,0.0038818499305838016,0.9786325407153376
True,narrow_33_345,MultiHI-Tabular,KNN,0.010140746711868043,0.007490103686085325,0.9616987064593717
True,narrow_33_345,MultiHI-DeepSequence,TransformerEncoder,0.01860807035437448,0.01368963798307784,0.8501095987143291
True,narrow_33_345,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.020647727772919795,0.009825444656392627,0.5139533891267789
True,narrow_33_345,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.025913835287993382,0.01249085107493139,0.7633478312513928
True,narrow_33_345,MultiHI-DeepSequence,LSTM,0.04083492294629594,0.03064380399461338,0.20146432539411122
True,narrow_33_345,MultiHI-DeepSequence,TCN,0.053191410086961974,0.04355385401090561,-0.10445933175883129
True,narrow_33_345,MultiHI-DeepSequence,GRU,0.10634815080021884,0.08806654023082865,-3.2628833788740272
True,paper_335_350,MultiHI-Tabular,ExtraTrees,0.002290542646652921,0.0014814560522184318,0.9977742209932854
True,paper_335_350,MultiHI-Tabular,RandomForest,0.0024463535192317106,0.001545467245705917,0.9976809853089733
True,paper_335_350,MultiHI-Tabular,XGBoost,0.003002322597933981,0.0019792131903736835,0.9963975466469602
True,paper_335_350,MultiHI-Tabular,HistGB,0.004466996211941386,0.0025352561166875343,0.9929343403419896
True,paper_335_350,MultiHI-Tabular,LightGBM,0.004925072441786298,0.0029974225744438085,0.9912425640113952
True,paper_335_350,MultiHI-Tabular,CatBoost,0.005539329616709829,0.004139125848552276,0.9880695108239819
True,paper_335_350,MultiHI-Tabular,Ridge,0.00562456842841058,0.004630543629267422,0.9868359023999025
True,paper_335_350,MultiHI-Tabular,ElasticNet,0.005869215452934085,0.004749350660102426,0.9859656999522735
True,paper_335_350,MultiHI-Tabular,SVR-RBF,0.008476171219741747,0.004582554083587294,0.972822694151005
