exclude_outliers,scenario,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,mean,std,mean,std,mean,std
False,only_very_narrow_window,XGBoost,0.003311630903812858,0.001636989962125058,0.0021804522967902194,0.0010472567713284318,0.9953703407145735,0.0040616287494015905
False,pmax_features_missing,CatBoost,0.006232432872103292,0.0025053662161570924,0.005031714698569181,0.002376303785048172,0.9843773234449346,0.014435842146846005
False,pmax_features_missing,ExtraTrees,0.002783906221232222,0.0013407083387210422,0.001972602157073788,0.0010849524051608091,0.9967202320468308,0.0034113122148119825
False,pmax_features_missing,HistGB,0.004574039868848971,0.0016929510581525893,0.002707283721137412,0.0009091597056941121,0.991794902095334,0.006286988005335559
False,pmax_features_missing,LightGBM,0.005266176136682585,0.001637021702984357,0.00326073332767953,0.0010708804020887973,0.9893918591312657,0.007630744788092682
False,pmax_features_missing,RandomForest,0.00275023118378257,0.0013555793114492245,0.0017292593100591627,0.0007852859417725314,0.9967891766977062,0.0032833342436849903
False,pmax_features_missing,Ridge,0.005880714243859874,0.004053189979553952,0.003970233348672164,0.002394591485794328,0.9829637732007436,0.020220731863774002
False,pmax_features_missing,XGBoost,0.0032375474728446804,0.0017317215283697712,0.0020217958055037044,0.0009633986731124456,0.9954895606656754,0.004032240337933899
True,all_windows_available,CatBoost,0.00679031645828834,0.0023917724408408325,0.005097774192520421,0.0021494999905665607,0.98196780187192,0.013976841913260025
True,all_windows_available,ExtraTrees,0.002753904423387389,0.001430245091928852,0.0019859049109923607,0.00113062935385888,0.9967034381169905,0.003658498900751918
True,all_windows_available,HistGB,0.004258780977059809,0.0014123888561161965,0.00251043997756025,0.0008197090124028426,0.99301439949753,0.0051350901306793095
True,all_windows_available,LightGBM,0.004811670783870065,0.0017648651972322783,0.0031050220241155843,0.0013122247041898098,0.990856606603489,0.007808249603546388
True,all_windows_available,RandomForest,0.002717982637965785,0.0013445224848803441,0.0017028089701509618,0.0007860329207785407,0.9968583214613066,0.0032523779806097443
True,all_windows_available,Ridge,0.008672681094251792,0.004630497758341937,0.007943809405084476,0.0047232279492192145,0.9671781196532964,0.03482345818189726
True,all_windows_available,XGBoost,0.0031743844223737576,0.0016136749196264141,0.002027898170307231,0.0009229802194778352,0.99574127331266,0.0037272777303197753
True,ica_shape_features_missing,CatBoost,0.005979936188455839,0.0022413524184217532,0.004565433249811826,0.001945990575660372,0.9858265603373357,0.011317824040131761
True,ica_shape_features_missing,ExtraTrees,0.0026707540255638974,0.001306373322401562,0.0018958449160401138,0.0009696834951792634,0.996971140422571,0.0031082585300311995
True,ica_shape_features_missing,HistGB,0.004471718716800385,0.0012787277959281592,0.002631088253329702,0.0007486997112360211,0.9924709508698216,0.004685173992598739
True,ica_shape_features_missing,LightGBM,0.004797823594036298,0.0015010540429561668,0.0030644496417574136,0.0010573328954438512,0.9911643420828256,0.006291365195860985
True,ica_shape_features_missing,RandomForest,0.0026538830400294963,0.0012876466820563102,0.0016712738981804122,0.0007508976384909361,0.9970243471698957,0.003018591576678345
True,ica_shape_features_missing,Ridge,0.007823005215118698,0.005110862399432551,0.007362829212849078,0.005158729244225035,0.9707445827859097,0.03484841753719766
True,ica_shape_features_missing,XGBoost,0.0031215731471102774,0.001551459222639656,0.0020111064452699176,0.0009055613261211435,0.9959046078996752,0.003520354808990644
True,only_full_window,CatBoost,0.006940426840820334,0.002167871495928123,0.005338495593746278,0.0018115618736946287,0.9816499521409646,0.0115574689199572
True,only_full_window,ExtraTrees,0.0036753298050966297,0.0013699476273657876,0.0022440612275196753,0.000802919400400429,0.9947586621582474,0.0036442186464823926
True,only_full_window,HistGB,0.0056660236440096755,0.0007062644486240158,0.003365347377110019,0.00032675373313607387,0.9886120544229999,0.0028666149708609203
True,only_full_window,LightGBM,0.006073295294450465,0.0007327173531374655,0.003772425660584723,0.0005891716101554551,0.9869202424359329,0.0032231511359254146
True,only_full_window,RandomForest,0.0032651087243291193,0.0012574427238220282,0.0019672837328951827,0.0007201600313848128,0.9958505895013605,0.0030839482689234425
True,only_full_window,Ridge,0.01397525888846926,0.0045301596943865974,0.012526134544368971,0.004865655963701736,0.9248177469145764,0.05091170214518644
True,only_full_window,XGBoost,0.004240037856840867,0.0011459833792469424,0.0028843116496335757,0.0008061982593897561,0.9933628049170601,0.003205619861879322
True,only_medium_window,CatBoost,0.0056807796888974854,0.002310894076189609,0.004384331740665335,0.002049269617511967,0.9871443484231157,0.010103645651820396
True,only_medium_window,ExtraTrees,0.0028027577813240284,0.0014472616347336253,0.0018143785472462468,0.0009099830863076022,0.9966529620425353,0.00312610769916699
True,only_medium_window,HistGB,0.005177685145852591,0.0011562269514534408,0.002915330364239345,0.0006816254957600167,0.9902272055264852,0.004238250061487501
True,only_medium_window,LightGBM,0.005506822891073723,0.0014860474876995501,0.0034176377498253987,0.001189531068700725,0.9886695034645008,0.0060940224360110685
True,only_medium_window,RandomForest,0.0025448013225277647,0.001271352579753561,0.0015967525333076646,0.000673525959140392,0.9972860094733462,0.002441263179829721
