exclude_outliers,scenario,model,RMSE,MAE,R2
True,only_medium_window,RandomForest,0.0025448013225277647,0.0015967525333076646,0.9972860094733462
True,only_medium_window,ExtraTrees,0.0028027577813240284,0.0018143785472462468,0.9966529620425353
True,only_medium_window,XGBoost,0.0031181323639338466,0.0020396633756676165,0.9959837469918218
True,only_medium_window,HistGB,0.005177685145852591,0.002915330364239345,0.9902272055264852
True,only_medium_window,LightGBM,0.005506822891073723,0.0034176377498253987,0.9886695034645008
True,only_medium_window,CatBoost,0.0056807796888974854,0.004384331740665335,0.9871443484231157
True,only_medium_window,Ridge,0.008438647148019725,0.007648555618249382,0.9652905054824155
True,only_narrow_window,RandomForest,0.0027059876579969347,0.001680249734191746,0.9968545413457243
True,only_narrow_window,ExtraTrees,0.0028158722673888035,0.0018531954373303783,0.9964506944291435
True,only_narrow_window,XGBoost,0.003404584873916533,0.002193630945617429,0.9952048882600014
True,only_narrow_window,HistGB,0.004796524955611909,0.0028261747191918466,0.9914371592506261
True,only_narrow_window,LightGBM,0.005236489760794846,0.0032218971133126167,0.9898667348858854
True,only_narrow_window,CatBoost,0.005907581414425676,0.004632640102793686,0.9861981325409175
True,only_narrow_window,Ridge,0.006216254840158524,0.0052339914591665185,0.9843555233455945
True,only_very_narrow_window,RandomForest,0.0025460405776984068,0.0015965549568076093,0.9973722803921378
True,only_very_narrow_window,ExtraTrees,0.0026008991240397037,0.001699331058700113,0.9971931704385073
True,only_very_narrow_window,XGBoost,0.003311630903812858,0.0021804522967902194,0.9953703407145735
True,only_very_narrow_window,HistGB,0.004866355332768564,0.0027417043149143712,0.9915674991974747
True,only_very_narrow_window,CatBoost,0.00488032203847803,0.0033962971349034616,0.9910125188440801
True,only_very_narrow_window,LightGBM,0.005066673788753064,0.003000696227717919,0.9908090865531738
True,only_very_narrow_window,Ridge,0.007653349892490656,0.005264388960328258,0.9765153967519213
True,pmax_features_missing,RandomForest,0.0027502311837825726,0.0017292593100591632,0.9967891766977062
True,pmax_features_missing,ExtraTrees,0.002783906221232225,0.001972602157073798,0.9967202320468308
True,pmax_features_missing,XGBoost,0.0032375474728446804,0.0020217958055037044,0.9954895606656754
True,pmax_features_missing,HistGB,0.004574039868848971,0.002707283721137412,0.991794902095334
True,pmax_features_missing,LightGBM,0.005266176136682585,0.00326073332767953,0.9893918591312657
True,pmax_features_missing,Ridge,0.005880714243859874,0.003970233348672164,0.9829637732007436
True,pmax_features_missing,CatBoost,0.006232432872103292,0.005031714698569181,0.9843773234449346
