experiment,scenario,scenario_description,test_cell,model,exclude_outliers,n_features,RMSE,MAE,R2
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell52,Ridge,False,13,0.0040804405155302256,0.0031357666890339253,0.994189139968721
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell53,Ridge,False,13,0.004494580781637233,0.0033920356744797367,0.9930216108499389
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell54,Ridge,False,13,0.0048473012982140525,0.0035944817621227825,0.9916765709555678
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell55,Ridge,False,13,0.010297651799987092,0.009785210458799393,0.9609777730429565
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell51,ExtraTrees,False,13,0.004341541525565742,0.002740460496227787,0.993708460534699
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell52,ExtraTrees,False,13,0.0014150331000259092,0.0010869758068693487,0.9993011893581453
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell53,ExtraTrees,False,13,0.0019098281731889453,0.0012664328194148954,0.9987400149429823
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell54,ExtraTrees,False,13,0.001573226546571875,0.001175048505029645,0.9991232318137643
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell55,ExtraTrees,False,13,0.004839731991591489,0.0029970595591101564,0.9913805754961263
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell51,RandomForest,False,13,0.003792388086771457,0.002209033995353042,0.9951994106879798
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell52,RandomForest,False,13,0.0015245633705409576,0.0011017830041160082,0.9991888199250505
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell53,RandomForest,False,13,0.001956031059396301,0.0012909926151727159,0.9986783139795633
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell54,RandomForest,False,13,0.0016413904005481456,0.0010390689934822537,0.9990456096726367
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell55,RandomForest,False,13,0.004615565372727761,0.0027603700628346804,0.9921605524633914
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell51,HistGB,False,13,0.005649534468280181,0.00326660066314841,0.9893464504061125
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell52,HistGB,False,13,0.004152677955094784,0.0026105325269884096,0.9939815754957033
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell53,HistGB,False,13,0.0036574714087251707,0.002223193753956017,0.9953789711174093
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell54,HistGB,False,13,0.0039038447310427386,0.0020237584310764333,0.9946013232716496
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell55,HistGB,False,13,0.006619096214916672,0.004006788220789964,0.9838774759622565
