dataset,test_cell,deployment_model,expert_window,expert_model,expert_inner_rmse,expert_rank_score,expert_weight,expert_model_size_kb,n_features
Dataset 3,Cell52,MAW-GME-full-50experts,full_27_36,HistGB,0.006573399628687192,0.007346328166990168,0.017233781384489864,462.8857421875,18
Dataset 3,Cell52,MAW-GME-full-50experts,narrow_33_345,HistGB,0.006591552748519905,0.0073651540636850395,0.017189730581927826,454.220703125,18
Dataset 3,Cell52,MAW-GME-full-50experts,full_27_36,LightGBM,0.006797467819309349,0.007630616891109693,0.016591714907978006,570.693359375,18
Dataset 3,Cell52,MAW-GME-full-50experts,narrow_33_345,LightGBM,0.006976538846148263,0.007830652074219775,0.016167877600446336,574.375,18
Dataset 3,Cell52,MAW-GME-full-50experts,paper_335_350,CatBoost,0.007079430757073471,0.007831959789884862,0.016165178025834007,202.81640625,18
Dataset 3,Cell52,MAW-GME-full-50experts,narrow_33_345,CatBoost,0.007243957068439355,0.00801381897243712,0.01579833889416536,202.41796875,18
Dataset 3,Cell52,MAW-GME-full-50experts,medium_32_35,CatBoost,0.007265136449277695,0.008037374910652742,0.015752037180481446,202.599609375,18
Dataset 3,Cell52,MAW-GME-full-50experts,full_27_36,CatBoost,0.007436312686433414,0.008226807535490406,0.015389327087937598,202.541015625,18
Dataset 3,Cell52,MAW-GME-full-50experts,narrow_33_345,Ridge,0.008203195305557468,0.008391818589456899,0.0150867221126875,2.1572265625,18
Dataset 3,Cell52,MAW-GME-full-50experts,medium_32_35,SVR-RBF,0.008458466358615302,0.008922419952301357,0.014189541035711618,19.158203125,18
Dataset 3,Cell52,MAW-GME-full-50experts,narrow_33_345,SVR-RBF,0.008805240092422914,0.009293441776644006,0.013623052982813393,18.80859375,18
Dataset 3,Cell52,MAW-GME-full-50experts,medium_32_35,Ridge,0.00975347989551411,0.009976903683786125,0.012689814702135151,2.1435546875,18
Dataset 3,Cell52,MAW-GME-full-50experts,medium_32_35,KNN,0.009815979253390832,0.010462540256478548,0.012100795966838674,33.12109375,18
Dataset 3,Cell52,MAW-GME-full-50experts,paper_335_350,SVR-RBF,0.011157386641624271,0.011785105680483498,0.01074280383654651,19.29296875,18
Dataset 3,Cell52,MAW-GME-full-50experts,narrow_33_345,KNN,0.011226008944061932,0.011965560018420028,0.010580790196500801,33.134765625,18
Dataset 3,Cell52,MAW-GME-full-50experts,very_narrow_335_340,SVR-RBF,0.011400883054721544,0.012065414678553906,0.01049322251967485,21.91796875,18
Dataset 3,Cell52,MAW-GME-full-50experts,full_27_36,ElasticNet,0.013745507629034233,0.014065160509295235,0.009001326067307403,2.1982421875,18
Dataset 3,Cell52,MAW-GME-full-50experts,paper_335_350,KNN,0.013283759102425786,0.014158871385398767,0.008941750587514853,33.134765625,18
