window,model_name,inner_rmse,inner_mae,inner_valid_folds,inner_model_size_kb,rank_score,n_features,test_cell,dataset
narrow_33_345,CatBoost,0.006819423005540609,0.005546957818217721,4,202.16015625,0.007544190548121834,18,Cell54,Dataset 3
very_narrow_335_340,LightGBM,0.0067232076957506595,0.004197574035310854,4,456.906005859375,0.00754702437818227,18,Cell54,Dataset 3
medium_32_35,LightGBM,0.006782366479058341,0.004068194309170687,4,457.76708984375,0.007613686923991196,18,Cell54,Dataset 3
paper_335_350,SVR-RBF,0.007281580759699947,0.004564215774023359,4,15.0244140625,0.0076855793804328516,18,Cell54,Dataset 3
very_narrow_335_340,HistGB,0.007005650291429104,0.0044641632676092145,4,354.677734375,0.007828677601750083,18,Cell54,Dataset 3
narrow_33_345,Ridge,0.00787873235931486,0.007249160570241013,4,2.1572265625,0.008059894981344823,18,Cell54,Dataset 3
very_narrow_335_340,ElasticNet,0.008880362393632376,0.00822110182093001,4,2.3212890625,0.009093553782780718,18,Cell54,Dataset 3
full_27_36,LightGBM,0.008330440888235632,0.005678104655779699,4,456.30615234375,0.009350978723985761,18,Cell54,Dataset 3
medium_32_35,KNN,0.008850813574185866,0.006303039948525433,4,25.9345703125,0.009433800839637876,18,Cell54,Dataset 3
full_27_36,HistGB,0.008839664017156426,0.00637458238207748,4,354.476806640625,0.00987805227851022,18,Cell54,Dataset 3
full_27_36,CatBoost,0.009133499655530179,0.007227791797825822,4,202.302734375,0.01010433516837939,18,Cell54,Dataset 3
narrow_33_345,KNN,0.01002662630959832,0.007532942314202462,4,25.9482421875,0.010687164021299761,18,Cell54,Dataset 3
paper_335_350,KNN,0.01133157055932536,0.008083305439547793,4,25.9482421875,0.012078075859924327,18,Cell54,Dataset 3
very_narrow_335_340,SVR-RBF,0.0119170195424565,0.007328062827829107,4,17.619140625,0.012613972157967668,18,Cell54,Dataset 3
very_narrow_335_340,Ridge,0.012665990660749187,0.011956839135212708,4,2.2392578125,0.012963728642404108,18,Cell54,Dataset 3
full_27_36,ElasticNet,0.013325612592600327,0.011982840627575913,4,2.19873046875,0.013635500780175851,18,Cell54,Dataset 3
very_narrow_335_340,KNN,0.012878434022859077,0.009707910528524877,4,26.0302734375,0.013727627009556178,18,Cell54,Dataset 3
full_27_36,Ridge,0.014405694212978847,0.012430939540905829,4,2.1162109375,0.014733169588213267,18,Cell54,Dataset 3
full_27_36,SVR-RBF,0.015308721366428978,0.008373386957183124,4,16.103515625,0.016178037529709904,18,Cell54,Dataset 3
